url,journal,year,title,abstract,authors
https://ideas.repec.org/a/bla/jfinan/v79y2024i2p843-902.html,Journal of Finance,2024,Measuring “Dark Matter” in Asset Pricing Models,"We formalize the concept of “dark matter” in asset pricing models by quantifying the additional informativeness of cross‐equation restrictions about fundamental dynamics. The dark‐matter measure captures the degree of fragility for models that are potentially misspecified and unstable: a large dark‐matter measure indicates that the model lacks internal refutability (weak power of optimal specification tests) and external validity (high overfitting tendency and poor out‐of‐sample fit). The measure can be computed at low cost even for complex dynamic structural models. To illustrate its applications, we provide quantitative examples applying the measure to (time‐varying) rare‐disaster risk and long‐run risk models.",Hui Chen & Winston Wei Dou & Leonid Kogan
https://ideas.repec.org/a/bla/jfinan/v80y2025i1p5-56.html,Journal of Finance,2025,"Bank Funding Risk, Reference Rates, and Credit Supply","Corporate credit lines are drawn more heavily when funding markets are stressed. This elevates expected bank funding costs. We show that credit supply is dampened by the associated debt‐overhang cost to bank shareholders. Until 2022, this impact was reduced by linking the interest paid on lines to a credit‐sensitive reference rate like the London interbank offered rate (LIBOR). We show that transition to risk‐free reference rates may exacerbate this friction. The adverse impact on credit supply is offset if drawdowns are expected to be deposited at the same bank, which happened at some of the largest banks during the global financial crisis and COVID recession.",Harry Cooperman & Darrell Duffie & Stephan Luck & Zachry Wang & Yilin (David) Yang
https://ideas.repec.org/a/bla/jfinan/v77y2022i4p2287-2329.html,Journal of Finance,2022,Debt Refinancing and Equity Returns,"This paper presents empirical evidence that the maturity structure of financial leverage affects the cross‐section of equity returns. We find that short‐term leverage is associated with a positive premium, whereas long‐term leverage is not. The premium for short‐term compared to long‐term leverage reflects higher exposure of equity to systematic risk. To rationalize our findings, we show that the same patterns emerge in a model of debt rollover risk with endogenous leverage and debt maturity choice. Our results suggest that analyses of leverage effects in asset prices and corporate financial applications should account for the maturity structure of debt.",Nils Friewald & Florian Nagler & Christian Wagner
https://ideas.repec.org/a/bla/jfinan/v71y2016i6p2933-2966.html,Journal of Finance,2016,Ties That Bind: How Business Connections Affect Mutual Fund Activism,"We investigate whether business ties with portfolio firms influence mutual funds' proxy voting using a comprehensive data set spanning 2003 to 2011. In contrast to prior literature, we find that business ties significantly influence promanagement voting at the level of individual pairs of fund families and firms after controlling for Institutional Shareholder Services (ISS) recommendations and holdings. The association is significant only for shareholder‐sponsored proposals and stronger for those that pass or fail by relatively narrow margins. Our findings are consistent with a demand‐driven model of biased voting in which company managers use existing business ties with funds to influence how they vote.",Dragana Cvijanović & Amil Dasgupta & Konstantinos E. Zachariadis
https://ideas.repec.org/a/bla/jfinan/v73y2018i6p2537-2586.html,Journal of Finance,2018,Unscheduled News and Market Dynamics,"When unscheduled news arrives, investors react with a stochastic delay yet still may exploit new information. In this context, I study the equilibrium dynamics of limit order markets. Continuous idiosyncratic liquidity shocks result in trades on both sides of the order book. News therefore arrives at random times. Following news, order flows become unbalanced and market depth is consumed, leading to positive covariance between price variability, trading volume, and order book unbalances. Holding the unconditional price variability constant, news frequency has a negative effect on both market depth and the variability‐volume covariance.",Jérôme Dugast
https://ideas.repec.org/a/bla/jfinan/v25y1970i2p383-417.html,Journal of Finance,1970,Efficient Capital Markets: A Review of Theory and Empirical Work,No abstract is available for this item.,"Fama, Eugene F"
https://ideas.repec.org/a/bla/jfinan/v79y2024i6p3683-3728.html,Journal of Finance,2024,Presidential Address: Macrofinance and Resilience,"This address reviews macrofinance from the perspective of resilience. It argues for a shift in mindset, away from risk management toward resilience management. It proposes a new resilience measure, and contrasts micro‐ and macro‐resilience. It also classifies macrofinance models in first‐ (log‐linearized) and second‐generation models, and links the important themes of macrofinance to resilience.",Markus K. Brunnermeier
https://ideas.repec.org/a/bla/jfinan/v74y2019i4p1621-1658.html,Journal of Finance,2019,Price Discovery without Trading: Evidence from Limit Orders,"We analyze the contribution to price discovery of market and limit orders by high‐frequency traders (HFTs) and non‐HFTs. While market orders have a larger individual price impact, limit orders are far more numerous. This results in price discovery occurring predominantly through limit orders. HFTs submit the bulk of limit orders and these limit orders provide most of the price discovery. Submissions of limit orders and their contribution to price discovery fall with volatility due to changes in HFTs’ behavior. Consistent with adverse selection arising from faster reactions to public information, HFTs’ informational advantage is partially explained by public information.",Jonathan Brogaard & Terrence Hendershott & Ryan Riordan
https://ideas.repec.org/a/bla/jfinan/v72y2017i5p2179-2228.html,Journal of Finance,2017,Firm Investment and Stakeholder Choices: A Top-Down Theory of Capital Budgeting,No abstract is available for this item.,Andres Almazan & Zhaohui Chen & Sheridan Titman
https://ideas.repec.org/a/bla/jfinan/v77y2022i1p163-211.html,Journal of Finance,2022,Cultural Biases in Equity Analysis,"A more positive cultural trust bias by an equity analyst's country of origin toward a firm's headquarter country is associated with significantly more positive stock recommendations. The cultural bias effect is stronger for eponymous firms whose names mention their home country and varies over time, increasing with negative sentiment. I find evidence of a negative North‐South bias during the European debt crisis and United Kingdom‐Europe divergence amid Brexit. Share price reactions to recommendations by more biased analysts are weaker, and more biased recommendations are worse predictors of monthly stock returns. More positively biased analysts also assign higher target prices.",Vesa Pursiainen
