url,journal,year,title,abstract,authors
https://ideas.repec.org/a/bla/jfinan/v73y2018i4p1937-1951.html,Journal of Finance,2018,Report of the Editor of the Journal of Finance for the Year 2017,No abstract is available for this item.,Stefan Nagel
https://ideas.repec.org/a/bla/jfinan/v64y2009i2p785-821.html,Journal of Finance,2009,"Work Ethic, Employment Contracts, and Firm Value","We analyze how the work ethic of managers impacts a firm's employment contracts, riskiness, growth potential, and organizational structure. Flat contracts are optimal for diligent managers because they reduce risk‐sharing costs, but they attract egoistic agents who shirk and unskilled agents who add no value. Stable, bureaucratic firms with low growth potential are more likely to gain value from managerial diligence. Firms that hire from a virtuous pool of agents are more conservative in their investments and have a horizontal corporate structure. Our theory also yields several testable implications that distinguish it from standard agency models.",Bruce Ian Carlin & Simon Gervais
https://ideas.repec.org/a/bla/jfinan/v70y2015i5p1997-2028.html,Journal of Finance,2015,"Market Making Contracts, Firm Value, and the IPO Decision","type=""main""> We examine the effects of secondary market liquidity on firm value and the IPO decision. Competitive aftermarket liquidity provision is associated with reduced welfare and a discounted secondary market price that can dissuade IPOs. The competitive market fails in particular for firms or at times when uncertainty regarding fundamental value and asymmetric information are large in combination. In these cases, firm value and welfare are improved by a contract where the firm engages a designated market maker to enhance liquidity. Such contracts represent a market solution to a market imperfection, particularly for small, growth firms.",Hendrik Bessembinder & Jia Hao & Kuncheng Zheng
https://ideas.repec.org/a/bla/jfinan/v62y2007i5p2061-2096.html,Journal of Finance,2007,Supply and Demand Shifts in the Shorting Market,"Using proprietary data on stock loan fees and quantities from a large institutional investor, we examine the link between the shorting market and stock prices. Employing a unique identification strategy, we isolate shifts in the supply and demand for shorting. We find that shorting demand is an important predictor of future stock returns: An increase in shorting demand leads to negative abnormal returns of 2.98% in the following month. Second, we show that our results are stronger in environments with less public information flow, suggesting that the shorting market is an important mechanism for private information revelation.",Lauren Cohen & Karl B. Diether & Christopher J. Malloy
https://ideas.repec.org/a/bla/jfinan/v71y2016i6p2781-2808.html,Journal of Finance,2016,Compensating Financial Experts,"We propose a labor market model in which financial firms compete for a scarce supply of workers who can be employed as either bankers or traders. While hiring bankers helps create a surplus that can be split between a firm and its trading counterparties, hiring traders helps the firm appropriate a greater share of that surplus away from its counterparties. Firms bid defensively for workers bound to become traders, who then earn more than bankers. As counterparties employ more traders, the benefit of employing bankers decreases. The model sheds light on the historical evolution of compensation in finance.",Vincent Glode & Richard Lowery
https://ideas.repec.org/a/bla/jfinan/v63y2008i6p2703-2736.html,Journal of Finance,2008,"Market Structure, Internal Capital Markets, and the Boundaries of the Firm","We study how the creation of an internal capital market (ICM) can invite strategic responses in product markets that, in turn, shape firm boundaries. ICMs provide ex post resource flexibility, but come with ex ante commitment costs. Alternatively, stand‐alones possess commitment ability but lack flexibility. By creating flexibility, integration can sometimes deter a rival's entry, but commitment problems can also invite predatory capital raising. These forces drive different organizational equilibria depending on the integrator's relation to the product market. Hybrid organizational forms like strategic alliances can sometimes dominate integration by offering some of its benefits with fewer strategic costs.",Richmond D. Mathews & David T. Robinson
https://ideas.repec.org/a/bla/jfinan/v79y2024i1p35-93.html,Journal of Finance,2024,The Decline of Secured Debt,"The share of secured debt issued (as a fraction of total corporate debt) declined steadily in the United States over the twentieth century. This stems partly from financial development giving creditors greater confidence that high‐quality borrowers will respect their claims even if creditors do not obtain security upfront. Consequently, such borrowers prefer retaining financial flexibility by not giving security up front. Instead, security is given contingently—when a firm approaches distress. This also explains why, superimposed on the secular decline, the share of secured debt issued is countercyclical.",Efraim Benmelech & Nitish Kumar & Raghuram Rajan
https://ideas.repec.org/a/bla/jfinan/v73y2018i2p619-656.html,Journal of Finance,2018,Liquidity as Social Expertise,"This paper proposes a theory of liquidity dynamics. Illiquidity results from asymmetric information. Observing the historical track record teaches agents how to interpret public information and helps overcome information asymmetry. However, an illiquidity trap can arise: too much asymmetric information leads to the breakdown of trade, which interrupts learning and perpetuates illiquidity. Liquidity falls in response to unexpected events that lead agents to question their valuation models (especially in newer markets) may be slow to recover after a crisis, and is higher in periods of stability.",Pablo Kurlat
https://ideas.repec.org/a/bla/jfinan/v79y2024i3p1831-1882.html,Journal of Finance,2024,A Horizon‐Based Decomposition of Mutual Fund Value Added Using Transactions,"We decompose mutual fund value added by the length of funds' holdings using transaction‐level data. We motivate our decomposition with a model featuring horizon‐specific investment ideas, where short‐term ideas are less scalable because the associated trades cannot be spread over time. Fund turnover correlates negatively with the horizon over which value is added and positively with price impact costs. As predicted, holdings of high‐turnover funds add a substantial amount of value in the first two weeks, of which more than 80% is earned on Federal Open Market Committee (FOMC) and earnings announcement days. Holdings of low‐turnover funds add value only over longer horizons.",Jules Van Binsbergen & Jungsuk Han & Hongxun Ruan & Ran Xing
https://ideas.repec.org/a/bla/jfinan/v75y2020i5p2809-2844.html,Journal of Finance,2020,A Macrofinance View of U.S. Sovereign CDS Premiums,"Premiums on U.S. sovereign credit default swaps (CDS) have risen to persistently elevated levels since the financial crisis. We examine whether these premiums reflect the probability of a fiscal default—a state in which a balanced budget can no longer be restored by raising taxes or eroding the real value of debt by increasing inflation. We develop an equilibrium macrofinance model in which the fiscal and monetary policy stances jointly endogenously determine nominal debt, taxes, inflation, and growth. We show that the CDS premiums reflect the endogenous risk‐adjusted probabilities of fiscal default. The calibrated model is consistent with elevated levels of CDS premiums but leaves dynamic implications quantitatively unresolved.",Mikhail Chernov & Lukas Schmid & Andres Schneider
https://ideas.repec.org/a/bla/jfinan/v75y2020i6p2899-2927.html,Journal of Finance,2020,"Every Cloud Has a Silver Lining: Fast Trading, Microwave Connectivity, and Trading Costs","Modern markets are characterized by speed differentials, with some traders being fractions of a second faster than others. Theoretical models suggest that such differentials may have both positive and negative effects on liquidity and gains from trade. We examine these effects by studying a series of exogenous weather episodes that temporarily remove the speed advantages of the fastest traders by disrupting their microwave networks. The disruptions are associated with lower adverse selection and lower trading costs. In additional analysis, we show that the long‐term removal of speed differentials results in similar effects and also increases gains from trade.",Andriy Shkilko & Konstantin Sokolov
https://ideas.repec.org/a/bla/jfinan/v64y2009i1p467-503.html,Journal of Finance,2009,Are Liquidity and Information Risks Priced in the Treasury Bond Market?,"We provide a comprehensive empirical analysis of the effects of liquidity and information risks on expected returns of Treasury bonds. We focus on the systematic liquidity risk of Pastor and Stambaugh as opposed to the traditional microstructure‐based measures of liquidity. Information risk is measured by the probability of information‐based trading (PIN). We document a strong positive relation between expected Treasury returns and liquidity and information risks, controlling for the effects of other systematic risk factors and bond characteristics. This relation is robust to many empirical specifications and a wide variety of traditional liquidity and informed trading proxies.",Haitao Li & Junbo Wang & Chunchi Wu & Yan He
https://ideas.repec.org/a/bla/jfinan/v79y2024i1p5-33.html,Journal of Finance,2024,Front‐Page News: The Effect of News Positioning on Financial Markets,"This paper estimates the effect of news positioning on the speed of price discovery, using exogenous variation in prominent (“front‐page”) positioning of news articles on the Bloomberg terminal. Front‐page articles see 240% higher trading volume and 176% larger absolute excess returns during the first 10 minutes after publication than equally important non‐front‐page articles. Overall, the information in front‐page articles is fully incorporated into prices within an hour of publication. The response to non‐front‐page information of similar importance eventually converges but takes more than two days to be fully reflected in prices.",Anastassia Fedyk
https://ideas.repec.org/a/bla/jfinan/v66y2011i1p177-201.html,Journal of Finance,2011,Asset Pricing with Garbage,No abstract is available for this item.,Alexi Savov
https://ideas.repec.org/a/bla/jfinan/v74y2019i3p1473-1502.html,Journal of Finance,2019,Household Debt Overhang and Unemployment,"We use a labor‐search model to explain why the worst employment slumps often follow expansions of household debt. We find that households protected by limited liability suffer from a household‐debt‐overhang problem that leads them to require high wages to work. Firms respond by posting high wages but few vacancies. This vacancy posting effect implies that high household debt leads to high unemployment. Even though households borrow from banks via bilaterally optimal contracts, the equilibrium level of household debt is inefficiently high due to a household‐debt externality. We analyze the role that a financial regulator can play in mitigating this externality.",Jason Roderick Donaldson & Giorgia Piacentino & Anjan Thakor
https://ideas.repec.org/a/bla/jfinan/v69y2014i5p2199-2236.html,Journal of Finance,2014,What's Not There: Odd Lots and Market Data,"type=""main""> We investigate odd-lot trades in equity markets. Odd lots are increasingly used in algorithmic and high-frequency trading, but are not reported to the consolidated tape or in databases such as TAQ. In our sample, the median number of odd-lot trades is 24% but in some stocks odd lots are 60% or more of trading. Odd-lot trades contribute 35% of price discovery, consistent with informed traders using odd lots to avoid detection. Omitting odd-lot trades leads to inaccuracies in order imbalance measures and makes sentiment measures unreliable. Excluding odd lots from the consolidated tape raises important regulatory issues.",Maureen O'Hara & Chen Yao & Mao Ye
https://ideas.repec.org/a/bla/jfinan/v73y2018i2p481-522.html,Journal of Finance,2018,Unshrouding: Evidence from Bank Overdrafts in Turkey,"Lower prices produce higher demand… or do they? A bank's direct marketing to holders of “free” checking accounts shows that a large discount on 60% APR overdrafts reduces overdraft usage, especially when bundled with a discount on debit card or autodebit transactions. In contrast, messages mentioning overdraft availability without mentioning price increase usage. Neither change persists long after the messages stop. These results do not square easily with classical models of consumer choice and firm competition. Instead, they support behavioral models where consumers underestimate and are inattentive to overdraft costs, and firms respond by shrouding overdraft prices in equilibrium.",Sule Alan & Mehmet Cemalcilar & Dean Karlan & Jonathan Zinman
https://ideas.repec.org/a/bla/jfinan/v56y2001i4p1603-1605.html,Journal of Finance,2001,Report of the Executive Secretary and Treasurer,No abstract is available for this item.,David H. Pyle
https://ideas.repec.org/a/bla/jfinan/v68y2013i5p1757-1803.html,Journal of Finance,2013,"Stronger Risk Controls, Lower Risk: Evidence from U.S. Bank Holding Companies",No abstract is available for this item.,Andrew Ellul & Vijay Yerramilli
https://ideas.repec.org/a/bla/jfinan/v76y2021i2p755-796.html,Journal of Finance,2021,Liquidity Supply in the Corporate Bond Market,"This paper examines dealer inventory capacity, or liquidity supply, as a driver of liquidity and expected returns in the corporate bond market. We identify shocks to aggregate liquidity supply using data on corporate bond yields and dealer positions. Liquidity supply shocks lead to persistent changes in market liquidity, are correlated with proxies for dealer financial constraints, and have significant explanatory power for cross‐sectional and time‐series variation in expected returns, beyond standard risk factors. Our findings point to liquidity supply by financially constrained intermediaries as a main driver of market liquidity and asset prices.",Jonathan Goldberg & Yoshio Nozawa
https://ideas.repec.org/a/bla/jfinan/v79y2024i4p2845-2884.html,Journal of Finance,2024,Meeting Targets in Competitive Product Markets,"We show that public banks face negative stock return jumps after missing their earnings per share (EPS) targets, and theoretically and quantitatively link these jumps to bunching behavior in the EPS surprise distribution. Bunching banks cut deposit rates to meet their targets, but do so at the expense of deposit outflows and franchise value losses. Local competitors, including private banks unexposed to capital market pressure, increase deposit rates, compensating depositors for switching. Our results provide new evidence that performance targeting incentives can affect consumer product prices, and suggest that competition may provide a check on public firms' targeting efforts.",Emilio Bisetti & Stephen A. Karolyi
https://ideas.repec.org/a/bla/jfinan/v70y2015i4p1555-1582.html,Journal of Finance,2015,Do Prices Reveal the Presence of Informed Trading?,"type=""main""> Using a comprehensive sample of trades from Schedule 13D filings by activist investors, we study how measures of adverse selection respond to informed trading. We find that on days when activists accumulate shares, measures of adverse selection and of stock illiquidity are lower, even though prices are positively impacted. Two channels help explain this phenomenon: (1) activists select times of higher liquidity when they trade, and (2) activists use limit orders. We conclude that, when informed traders can select when and how to trade, standard measures of adverse selection may fail to capture the presence of informed trading.",Pierre Collin-Dufresne & Vyacheslav Fos
https://ideas.repec.org/a/bla/jfinan/v70y2015i6p2777-2812.html,Journal of Finance,2015,Government Intervention and Information Aggregation by Prices,"Governments intervene in firms' lives in a variety of ways. To enhance the efficiency of government intervention, many researchers and policy makers call for governments to make use of information contained in stock market prices. However, price informativeness is endogenous to government policy. We analyze government policy in light of this endogeneity. In some cases, it is optimal for a government to commit to limit its reliance on market prices to avoid harming the aggregation of information into market prices. For similar reasons, it is optimal for a government to limit transparency in some dimensions.",Philip Bond & Itay Goldstein
https://ideas.repec.org/a/bla/jfinan/v80y2025i1p561-614.html,Journal of Finance,2025,Dynamic Competition in Negotiated Price Markets,"Using contract‐level data for the Canadian mortgage market, this paper provides evidence of an “invest‐and‐harvest” pricing pattern. We build a dynamic model of price negotiation with search and switching frictions to capture key market features. We estimate the model and use it to investigate the effects of market frictions and the resulting dynamic competition on borrowers' and banks' payoffs. We show that dynamic pricing and the presence of search and switching costs have important implications for public policies.",Jason Allen & Shaoteng Li
