url,journal,year,title,abstract,authors
https://ideas.repec.org/a/bla/jfinan/v52y1997i1p57-82.html,Journal of Finance,"1997.
",On Persistence in Mutual Fund Performance,"Downloadable (with restrictions)!  Using a sample free of survivor bias, the author demonstrates that common factors in stock returns and investment expenses almost completely explain persistence in equity mutual funds' mean and risk-adjusted returns. Darryll Hendricks, Jayendu Patel, and Richard Zeckhauser's (1993) 'hot hands' result is mostly driven by the one-year momentum effect of Narasimham Jegadeesh and Sheridan Titman (1993), but individual funds do not earn higher returns from following the momentum strategy in stocks. The only significant persistence not explained is concentrated in strong underperformance by the worst-return mutual funds. The results do not support the existence of skilled or informed mutual fund portfolio managers. Copyright 1997 by American Finance Association.","Carhart, Mark M"
https://ideas.repec.org/a/bla/jfinan/v25y1970i2p383-417.html,Journal of Finance,"1970.
",Efficient Capital Markets: A Review of Theory and Empirical Work,Downloadable (with restrictions)! No abstract is available for this item.,"Fama, Eugene F"
https://ideas.repec.org/a/bla/jfinan/v80y2025i2p657-698.html,Journal of Finance,"2025.
",The Disappearing Index Effect,"Downloadable! The abnormal return associated with a stock being added to the S&P 500 has fallen from an average of 7.4% in the 1990s to less than 1% over the past decade. This has occurred despite a significant increase in the share of stock market assets linked to the index. A similar pattern has occurred for index deletions, with large negative abnormal returns during the 1990s but an average return of only 0.1% between 2010 and 2020. We investigate the drivers of this phenomenon and discuss implications for market efficiency. We document a similar decline in the index effect among other families of indices.",Robin Greenwood & Marco Sammon
https://ideas.repec.org/a/bla/jfinan/v80y2025i2p699-754.html,Journal of Finance,"2025.
",Sustainability or Greenwashing: Evidence from the Asset Market for Industrial Pollution,"Downloadable! We study the asset market for pollutive plants. Firms divest pollutive plants in response to environmental pressures. Buyers are firms facing weaker environmental pressures that have supply chain relationships or joint ventures with the sellers. While pollution levels do not decline following divestitures, sellers highlight their sustainable policies in subsequent conference calls, earn higher returns as they sell more pollutive plants, and benefit from higher Environmental, Social, and Governance (ESG) ratings and lower compliance costs. Overall, the asset market allows firms to redraw their boundaries in a manner perceived as environmentally friendly without real consequences for pollution but with substantial gains from trade.",Ran Duchin & Janet Gao & Qiping Xu
https://ideas.repec.org/a/bla/jfinan/v80y2025i2p755-781.html,Journal of Finance,"2025.
",The Allocation of Socially Responsible Capital,"Downloadable! Portfolio allocation decisions increasingly incorporate social values. We develop a tractable framework to study how competition between investors to own socially valuable assets affects social welfare. Relative to the most common social‐investing strategies, we identify alternative strategies that result in higher impact and higher financial returns. We identify strategies for investors to have impact when impact is difficult to measure. From the firm's perspective, increasing profitability can have greater impact than directly increasing social value. We present new empirical evidence on the social preferences of investors that demonstrates the practical relevance of our theory.",Daniel Green & Benjamin N. Roth
https://ideas.repec.org/a/bla/jfinan/v80y2025i2p783-832.html,Journal of Finance,"2025.
",Pricing Poseidon: Extreme Weather Uncertainty and Firm Return Dynamics,"Downloadable! We empirically analyze firm‐level uncertainty generated from extreme weather events, guided by a theoretical framework. Stock options of firms with establishments in a hurricane's (forecast) landfall region exhibit large implied volatility increases, reflecting significant uncertainty (before) after impact. Volatility risk premium dynamics reveal that investors underestimate such uncertainty. This underreaction diminishes for hurricanes after Sandy, a salient event that struck the U.S. financial center. Despite constituting idiosyncratic shocks, hurricanes affect hit firms' expected stock returns. Textual analysis of calls between firm management, analysts, and investors reveals that discussions about hurricane impacts remain elevated throughout the long‐lasting high‐uncertainty period after landfall.",Mathias S. Kruttli & Brigitte Roth Tran & Sumudu W. Watugala
https://ideas.repec.org/a/bla/jfinan/v80y2025i2p833-873.html,Journal of Finance,"2025.
",Designing Stress Scenarios,"Downloadable! We study the optimal design of stress scenarios. A principal manages the unknown risk exposures of agents by asking them to report losses under hypothetical scenarios before taking remedial actions. We apply a Kalman filter to solve the learning problem, and we relate the optimal design to the risk environment, the principal's preferences, and available interventions. In a banking context, optimal capital requirements cover losses under an adverse scenario, while targeted interventions depend on covariances among residual exposures and systematic risks. Our calibration reveals that information is particularly valuable for targeted interventions as opposed to broad capital requirements.",Cecilia Parlatore & Thomas Philippon
https://ideas.repec.org/a/bla/jfinan/v80y2025i2p875-910.html,Journal of Finance,"2025.
",Crisis Interventions in Corporate Insolvency,"Downloadable! We model the optimal resolution of insolvent firms in general equilibrium. Collateral‐constrained banks lend to (i) solvent firms to finance investments and (ii) distressed firms to avoid liquidation. Liquidations create negative fire‐sale externalities. Liquidations also relieve bank balance–sheet congestion, enabling new firm loans that generate positive collateral externalities by lowering bank borrowing rates. Socially optimal interventions encourage liquidation when firms have high operating losses, high leverage, or low productivity. Surprisingly, larger fire sales promote interventions encouraging more liquidations. We study synergies between insolvency interventions and macroprudential regulation, bailouts, deferred loss recognition, and debt subordination. Our model elucidates historical crisis interventions.",Samuel Antill & Christopher Clayton
https://ideas.repec.org/a/bla/jfinan/v80y2025i2p911-936.html,Journal of Finance,"2025.
",Repo over the Financial Crisis,"Downloadable! This paper uses new data to provide a comprehensive view of repo activity during the 2007 global financial crisis. We show that activity declined much more in the bilateral segment of the market than in the tri‐party segment. Surprisingly, a large share of the decline in activity is driven by repos backed by Treasury securities. Further, a disproportionate share of the decline in repo activity is connected to securities dealer's market‐making activity. In particular, the evidence suggests that at least part of the decline is not driven by clients pulling away from securities dealers because of counterparty credit concerns.",Adam Copeland & Antoine Martin
https://ideas.repec.org/a/bla/jfinan/v80y2025i2p937-979.html,Journal of Finance,"2025.
",Worker Runs,"Downloadable! The voluntary departure of hard‐to‐replace skilled workers worsens firm prospects, which can lead to additional departures. We develop a model in which firms design compensation to limit the risk of such “worker runs.” To achieve cost‐efficient retention, firms combine fixed wages with dilutable compensation—such as vesting equity or bonus pools—which pays remaining workers more when others leave but gets diluted otherwise. Compensating (identical) workers with differently structured compensation, that is, with a different mix of output‐dependent and output‐independent pay, can further mitigate the risk of worker runs by ensuring a critical retention level in a cost‐efficient way.",Florian Hoffmann & Vladimir Vladimirov
